# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> April 27, 2017 
# ==================================================================
#
# Disk File Name = SRIM Outputs\Helium in Beryllium.txt
#
# Ion = Helium [2] , Mass = 4.003 amu
#
# Target Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#     Be      4    100.00    100.00   
# ====================================
# Bragg Correction = 0.00%
# Stopping Units =  MeV / (mg/cm2) 
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   6.250E-01  3.423E-04   36.67 um     1.35 um     5362 A   
   7.00 MeV   5.945E-01  3.205E-04   41.11 um     1.49 um     5878 A   
   8.00 MeV   5.426E-01  2.846E-04   50.63 um     2.02 um     6981 A   
   9.00 MeV   4.978E-01  2.562E-04   61.04 um     2.51 um     8177 A   
  10.00 MeV   4.562E-01  2.332E-04   72.39 um     2.99 um     9472 A   
  11.00 MeV   4.236E-01  2.142E-04   84.70 um     3.47 um     1.09 um  
  12.00 MeV   3.958E-01  1.981E-04   97.91 um     3.95 um     1.24 um  
  13.00 MeV   3.718E-01  1.844E-04  112.01 um     4.43 um     1.39 um  
  14.00 MeV   3.507E-01  1.726E-04  126.99 um     4.93 um     1.56 um  
  15.00 MeV   3.322E-01  1.622E-04  142.83 um     5.43 um     1.74 um  
  16.00 MeV   3.157E-01  1.531E-04  159.54 um     5.93 um     1.93 um  
  17.00 MeV   3.009E-01  1.450E-04  177.09 um     6.44 um     2.12 um  
  18.00 MeV   2.875E-01  1.377E-04  195.48 um     6.96 um     2.33 um  
  20.00 MeV   2.644E-01  1.252E-04  234.73 um     8.94 um     2.76 um  
  22.50 MeV   2.406E-01  1.126E-04  288.36 um    11.76 um     3.35 um  
  25.00 MeV   2.211E-01  1.024E-04  347.01 um    14.43 um     3.99 um  
  27.50 MeV   2.047E-01  9.397E-05  410.58 um    17.04 um     4.69 um  
  30.00 MeV   1.908E-01  8.686E-05  479.00 um    19.64 um     5.43 um  
  32.50 MeV   1.789E-01  8.079E-05  552.20 um    22.25 um     6.22 um  
  35.00 MeV   1.684E-01  7.555E-05  630.12 um    24.88 um     7.06 um  
  37.50 MeV   1.592E-01  7.097E-05  712.70 um    27.54 um     7.95 um  
  40.00 MeV   1.511E-01  6.693E-05  799.88 um    30.23 um     8.89 um  
  45.00 MeV   1.373E-01  6.015E-05  987.73 um    40.35 um    10.90 um  
  50.00 MeV   1.259E-01  5.466E-05    1.19 mm    49.87 um    13.08 um  
  55.00 MeV   1.165E-01  5.012E-05    1.42 mm    59.15 um    15.45 um  
  60.00 MeV   1.085E-01  4.630E-05    1.66 mm    68.37 um    17.99 um  
  65.00 MeV   1.016E-01  4.305E-05    1.92 mm    77.62 um    20.70 um  
  70.00 MeV   9.561E-02  4.023E-05    2.19 mm    86.94 um    23.58 um  
  80.00 MeV   8.570E-02  3.562E-05    2.79 mm   121.56 um    29.82 um  
  90.00 MeV   7.781E-02  3.199E-05    3.45 mm   153.80 um    36.71 um  
 100.00 MeV   7.138E-02  2.905E-05    4.18 mm   185.26 um    44.21 um  
#-----------------------------------------------------------
# Multiply Stopping by        for Stopping Units
# -------------------        ------------------
#  1.8479E+01                 eV / Angstrom 
#  1.8479E+02                keV / micron   
#  1.8479E+02                MeV / mm       
#  1.0000E+00                keV / (ug/cm2) 
#  1.0000E+00                MeV / (mg/cm2) 
#  1.0000E+03                keV / (mg/cm2) 
#  1.4965E+01                 eV / (1E15 atoms/cm2)
#  1.4566E+00                L.S.S. reduced units
# ==================================================================
# (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
