# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 20, 2017 
# ==================================================================
# 
# Disk File Name = SRIM Outputs\Beryllium in Aluminum.txt
# 
# Ion = Beryllium [4] , Mass = 9.012 amu
# 
# Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#     Al     13    100.00    100.00   
# ====================================
# Bragg Correction = 0.00%
# Stopping Units =  MeV / (mg/cm2) 
# See bottom of Table for other Stopping units 
# 
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   2.658E+00  3.008E-03    8.39 um     3287 A      3750 A   
   6.50 MeV   2.602E+00  2.809E-03    9.10 um     3463 A      3865 A   
   7.00 MeV   2.550E+00  2.637E-03    9.81 um     3637 A      3981 A   
   8.00 MeV   2.451E+00  2.352E-03   11.29 um     4245 A      4215 A   
   9.00 MeV   2.362E+00  2.125E-03   12.83 um     4817 A      4453 A   
  10.00 MeV   2.279E+00  1.941E-03   14.42 um     5364 A      4696 A   
  11.00 MeV   2.203E+00  1.787E-03   16.07 um     5895 A      4943 A   
  12.00 MeV   2.132E+00  1.658E-03   17.77 um     6414 A      5196 A   
  13.00 MeV   2.066E+00  1.547E-03   19.53 um     6926 A      5455 A   
  14.00 MeV   2.004E+00  1.450E-03   21.35 um     7432 A      5719 A   
  15.00 MeV   1.945E+00  1.366E-03   23.22 um     7934 A      5989 A   
  16.00 MeV   1.890E+00  1.291E-03   25.15 um     8435 A      6265 A   
  17.00 MeV   1.838E+00  1.225E-03   27.13 um     8935 A      6547 A   
  18.00 MeV   1.789E+00  1.165E-03   29.17 um     9434 A      6836 A   
  20.00 MeV   1.695E+00  1.062E-03   33.42 um     1.13 um     7432 A   
  22.50 MeV   1.575E+00  9.583E-04   39.08 um     1.39 um     8218 A   
  25.00 MeV   1.478E+00  8.737E-04   45.14 um     1.64 um     9052 A   
  27.50 MeV   1.391E+00  8.034E-04   51.59 um     1.89 um     9933 A   
  30.00 MeV   1.314E+00  7.442E-04   58.42 um     2.13 um     1.09 um  
  32.50 MeV   1.244E+00  6.935E-04   65.66 um     2.38 um     1.18 um  
  35.00 MeV   1.180E+00  6.495E-04   73.29 um     2.62 um     1.29 um  
  37.50 MeV   1.123E+00  6.111E-04   81.32 um     2.87 um     1.39 um  
  40.00 MeV   1.070E+00  5.772E-04   89.75 um     3.12 um     1.51 um  
  45.00 MeV   9.775E-01  5.200E-04  107.84 um     4.06 um     1.75 um  
  50.00 MeV   8.990E-01  4.736E-04  127.57 um     4.95 um     2.01 um  
  55.00 MeV   8.318E-01  4.351E-04  148.96 um     5.82 um     2.29 um  
  60.00 MeV   7.738E-01  4.027E-04  172.01 um     6.70 um     2.60 um  
  65.00 MeV   7.233E-01  3.750E-04  196.74 um     7.58 um     2.92 um  
  70.00 MeV   6.790E-01  3.510E-04  223.13 um     8.48 um     3.27 um  
  80.00 MeV   6.055E-01  3.115E-04  280.82 um    11.83 um     4.03 um  
  90.00 MeV   5.472E-01  2.804E-04  345.09 um    14.97 um     4.87 um  
 100.00 MeV   5.002E-01  2.551E-04  415.81 um    18.07 um     5.80 um  
# -----------------------------------------------------------
#  Multiply Stopping by        for Stopping Units
#  -------------------        ------------------
#   2.7019E+01                 eV / Angstrom 
#   2.7019E+02                keV / micron   
#   2.7019E+02                MeV / mm       
#   1.0000E+00                keV / (ug/cm2) 
#   1.0000E+00                MeV / (mg/cm2) 
#   1.0000E+03                keV / (mg/cm2) 
#   4.4804E+01                 eV / (1E15 atoms/cm2)
#   1.1538E+00                L.S.S. reduced units
#  ==================================================================
#  (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
